time_s,iso_time,setpoint,rpm,control_pct
10.795186,2025-10-24T15:32:57.699865,0.000000,14.580000,0.000000
10.941562,2025-10-24T15:32:57.846241,0.000000,14.060000,0.000000
10.946182,2025-10-24T15:32:57.850861,0.000000,13.540000,0.392157
10.950700,2025-10-24T15:32:57.855378,0.000000,12.920000,0.392157
10.955346,2025-10-24T15:32:57.860025,0.000000,12.500000,0.392157
10.961272,2025-10-24T15:32:57.865951,0.000000,11.870000,0.784314
10.966780,2025-10-24T15:32:57.871459,0.000000,11.460000,0.784314
10.972633,2025-10-24T15:32:57.877312,0.000000,10.940000,0.784314
10.977340,2025-10-24T15:32:57.882019,0.000000,10.520000,0.784314
10.982399,2025-10-24T15:32:57.887078,0.000000,10.000000,1.176471
10.989172,2025-10-24T15:32:57.893851,0.000000,9.580000,1.176471
10.994552,2025-10-24T15:32:57.899231,0.000000,8.850000,1.568627
10.999393,2025-10-24T15:32:57.904071,0.000000,8.440000,1.568627
11.005111,2025-10-24T15:32:57.909790,0.000000,8.020000,1.568627
11.010298,2025-10-24T15:32:57.914977,0.000000,7.600000,1.568627
11.015094,2025-10-24T15:32:57.919772,0.000000,7.080000,1.960784
11.020932,2025-10-24T15:32:57.925611,0.000000,6.560000,2.352941
11.026241,2025-10-24T15:32:57.930920,0.000000,6.150000,2.352941
11.031093,2025-10-24T15:32:57.935771,0.000000,5.730000,2.745098
11.036899,2025-10-24T15:32:57.941578,0.000000,5.310000,2.745098
11.042500,2025-10-24T15:32:57.947179,0.000000,4.690000,3.137255
11.047958,2025-10-24T15:32:57.952637,0.000000,4.480000,3.137255
11.053651,2025-10-24T15:32:57.958330,0.000000,3.960000,3.529412
11.058834,2025-10-24T15:32:57.963513,0.000000,3.650000,3.529412
11.063513,2025-10-24T15:32:57.968192,0.000000,3.120000,3.921569
11.068635,2025-10-24T15:32:57.973314,0.000000,2.810000,3.921569
11.074343,2025-10-24T15:32:57.979022,0.000000,2.290000,4.313725
11.079746,2025-10-24T15:32:57.984425,0.000000,1.980000,4.705882
11.085272,2025-10-24T15:32:57.989951,0.000000,1.560000,4.705882
11.090669,2025-10-24T15:32:57.995348,0.000000,1.250000,5.098039
11.227516,2025-10-24T15:32:58.132195,0.000000,1.040000,5.098039
11.232428,2025-10-24T15:32:58.137107,0.000000,0.730000,5.490196
11.237558,2025-10-24T15:32:58.142237,0.000000,0.520000,5.490196
11.243183,2025-10-24T15:32:58.147861,0.000000,0.310000,5.490196
11.248761,2025-10-24T15:32:58.153440,0.000000,0.210000,5.490196
11.254773,2025-10-24T15:32:58.159452,0.000000,0.100000,5.882353
11.260758,2025-10-24T15:32:58.165437,0.000000,0.100000,5.490196
11.266128,2025-10-24T15:32:58.170807,0.000000,-0.000000,5.882353
11.271041,2025-10-24T15:32:58.175720,0.000000,-0.000000,5.882353
11.276821,2025-10-24T15:32:58.181500,0.000000,-0.000000,5.882353
11.284107,2025-10-24T15:32:58.188786,0.000000,-0.000000,5.882353
11.290474,2025-10-24T15:32:58.195153,0.000000,-0.000000,5.882353
11.297596,2025-10-24T15:32:58.202275,0.000000,-0.000000,5.882353
11.304536,2025-10-24T15:32:58.209215,0.000000,-0.000000,5.882353
11.310554,2025-10-24T15:32:58.215233,0.000000,-0.000000,5.882353
11.317653,2025-10-24T15:32:58.222332,0.000000,-0.000000,5.882353
11.325306,2025-10-24T15:32:58.229985,0.000000,-0.000000,5.882353
11.333791,2025-10-24T15:32:58.238470,0.000000,-0.000000,5.882353
11.341425,2025-10-24T15:32:58.246104,0.000000,-0.000000,5.882353
11.346462,2025-10-24T15:32:58.251141,0.000000,-0.000000,5.882353
11.351178,2025-10-24T15:32:58.255857,0.000000,-0.000000,5.882353
11.357219,2025-10-24T15:32:58.261898,0.000000,-0.000000,5.882353
11.362661,2025-10-24T15:32:58.267340,0.000000,-0.000000,5.882353
11.370365,2025-10-24T15:32:58.275044,0.000000,-0.000000,5.882353
11.375998,2025-10-24T15:32:58.280676,0.000000,-0.000000,5.882353
11.380681,2025-10-24T15:32:58.285360,0.000000,-0.000000,5.882353
11.386293,2025-10-24T15:32:58.290972,0.000000,-0.000000,5.882353
11.391968,2025-10-24T15:32:58.296646,0.000000,-0.000000,5.882353
11.396648,2025-10-24T15:32:58.301327,0.000000,-0.000000,5.882353
11.401564,2025-10-24T15:32:58.306243,0.000000,-0.000000,5.882353
11.409675,2025-10-24T15:32:58.314354,0.000000,-0.000000,5.882353
11.415763,2025-10-24T15:32:58.320442,0.000000,-0.000000,5.882353
11.421252,2025-10-24T15:32:58.325931,0.000000,-0.000000,5.882353
11.577304,2025-10-24T15:32:58.481983,0.000000,-0.000000,5.882353
11.585252,2025-10-24T15:32:58.489931,0.000000,-0.000000,5.882353
11.594728,2025-10-24T15:32:58.499407,0.000000,-0.000000,5.882353
11.603251,2025-10-24T15:32:58.507930,0.000000,-0.000000,5.882353
11.610705,2025-10-24T15:32:58.515384,0.000000,-0.000000,5.882353
11.619491,2025-10-24T15:32:58.524170,0.000000,-0.000000,5.882353
11.627603,2025-10-24T15:32:58.532281,0.000000,-0.000000,5.882353
11.638213,2025-10-24T15:32:58.542892,0.000000,-0.000000,5.882353
11.646554,2025-10-24T15:32:58.551233,0.000000,-0.000000,5.882353
11.656060,2025-10-24T15:32:58.560739,0.000000,-0.000000,5.882353
11.663599,2025-10-24T15:32:58.568278,0.000000,-0.000000,5.882353
11.672607,2025-10-24T15:32:58.577286,0.000000,-0.000000,5.882353
11.679901,2025-10-24T15:32:58.584579,0.000000,-0.000000,5.882353
11.687420,2025-10-24T15:32:58.592099,0.000000,-0.000000,5.882353
11.695019,2025-10-24T15:32:58.599698,0.000000,-0.000000,5.882353
11.702541,2025-10-24T15:32:58.607220,0.000000,-0.000000,5.882353
11.709216,2025-10-24T15:32:58.613895,0.000000,-0.000000,5.882353
11.716712,2025-10-24T15:32:58.621391,0.000000,-0.000000,5.882353
11.725752,2025-10-24T15:32:58.630431,0.000000,-0.000000,5.882353
11.735702,2025-10-24T15:32:58.640381,0.000000,-0.000000,5.882353
11.743717,2025-10-24T15:32:58.648396,0.000000,-0.000000,5.882353
11.751178,2025-10-24T15:32:58.655856,0.000000,-0.000000,5.882353
11.759463,2025-10-24T15:32:58.664142,0.000000,-0.000000,5.882353
11.766932,2025-10-24T15:32:58.671611,0.000000,-0.000000,5.882353
11.774336,2025-10-24T15:32:58.679014,0.000000,-0.000000,5.882353
11.781522,2025-10-24T15:32:58.686201,0.000000,-0.000000,5.882353
11.790482,2025-10-24T15:32:58.695160,0.000000,-0.000000,5.882353
11.799526,2025-10-24T15:32:58.704205,0.000000,-0.000000,5.882353
11.808784,2025-10-24T15:32:58.713462,0.000000,-0.000000,5.882353
11.816566,2025-10-24T15:32:58.721245,0.000000,-0.000000,5.882353
11.824021,2025-10-24T15:32:58.728700,0.000000,-0.000000,5.882353
11.833622,2025-10-24T15:32:58.738301,0.000000,-0.000000,5.882353
11.841380,2025-10-24T15:32:58.746059,0.000000,-0.000000,5.882353
11.849426,2025-10-24T15:32:58.754105,0.000000,-0.000000,5.882353
11.858533,2025-10-24T15:32:58.763211,0.000000,-0.000000,5.882353
